CCAA,Curados,Fallecidos,Hospitalizados,Infectados,Nuevos,UCI
Andalucía,1967,815,4993.0,10187,181,621.0
Aragón,946,464,1938.0,4187,117,274.0
Asturias,434,149,1265.0,1958,66,110.0
Baleares,862,117,811.0,1550,16,143.0
C. Valenciana,2803,876,4269.0,9060,219,576.0
Canarias,458,96,763.0,1944,26,145.0
Cantabria,317,117,827.0,1777,25,75.0
Castilla La Mancha,2532,1626,7782.0,14054,356,475.0
Castilla y León,4154,1263,6077.0,12628,510,312.0
Cataluña,15602,3538,22780.0,34726,699,2713.0
Ceuta,20,4,9.0,95,2,4.0
Extremadura,511,321,1096.0,2658,78,108.0
Galicia,1186,284,2344.0,7494,158,136.0
La Rioja,1458,223,1141.0,3358,79,73.0
Madrid,25385,6423,11233.0,47146,559,1327.0
Melilla,18,2,43.0,101,3,3.0
Murcia,353,101,543.0,1463,14,94.0
Navarra,695,239,1693.0,4092,123,124.0
País Vasco,5026,831,5622.0,11018,246,464.0
ESPAÑA,64727,17489,75229.0,169496,3477,7777.0
