Grupo de,Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7
,,,Total,,,,,
edad,,,,,,,,
(años),Confirmados,Hospitalizados totales,,UCI,,,,Fallecidos
,n,n %,n,%,,,n,% Letalidad(%)
0-9,247,"77 0,2",6,"0,2",,,1,"0,0 0,4"
10-19,489,"100 0,2",4,"0,1",,,1,"0,0 0,2"
20-29,4.604,"755 1,7",44,"1,3",,,7,"0,1 0,2"
30-39,8.745,"1.953 4,5",125,"3,6",,,20,"0,4 0,2"
40-49,13.411,"4.289 9,8",326,"9,4",,,50,"1,0 0,4"
50-59,16.569,"6.828 15,7",645,"18,5",,,147,"3,0 0,9"
60-69,14.935,"8.868 20,4",1095,"31,5",,,420,"8,4 2,8"
70-79,14.295,"10.830 24,9",1107,"31,8",,,1353,"27,2 9,5"
80-89,11.204,"7.857 18,0",115,"3,3",,,2135,"42,9 19,1"
90 y +,3.645,"1.995 4,6",12,"0,3",,,844,"17,0 23,2"
Total,88.144,43.552 100%,3479,100%,,,4978,100%
,,,,,,,,
,,,,,,,,
Grupo de,,,,,,,,
,,Mujeres,,,,,,
edad,,,,,,,,
(años),Confirmados,Hospitalizados totales,,UCI,,,,Fallecidos
,n,n %,n,%,,,n,% Letalidad(%)
0-9,120,"35 0,2",2,"0,2",,,1,"0,1 0,8"
10-19,258,"54 0,3",1,"0,1",,,1,"0,1 0,4"
20-29,2.904,"373 2,1",17,"1,6",,,2,"0,1 0,1"
30-39,5.183,"902 5,0",44,"4,3",,,8,"0,4 0,2"
40-49,7.255,"1.699 9,4",94,"9,1",,,19,"1,0 0,3"
50-59,8.776,"2.690 15,0",188,"18,2",,,45,"2,5 0,5"
60-69,6.825,"3.497 19,4",317,"30,7",,,119,"6,5 1,7"
70-79,5.866,"4.199 23,4",307,"29,7",,,369,"20,2 6,3"
80-89,5.474,"3.433 19,1",59,"5,7",,,827,"45,3 15,1"
90 y +,2.259,"1.099 6,1",4,"0,4",,,436,"23,9 19,3"
Total,44.920,17.981 100%,1.033,100%,,,1.827,100%
,,,,,,,,
Grupo de,,,,,,,,
,,Hombres,,,,,,
edad,,,,,,,,
(años),Confirmados,Hospitalizados totales,,UCI,,,,Fallecidos
,n,n %,n,%,,,n,% Letalidad(%)
0-9,127,"42 0,2",4,"0,2",,,0,"0,0 0,0"
10-19,231,"46 0,2",3,"0,1",,,0,"0,0 0,0"
20-29,1.694,"378 1,5",27,"1,1",,,5,"0,2 0,3"
30-39,3.561,"1.050 4,1",81,"3,3",,,12,"0,4 0,3"
40-49,6.156,"2.590 10,1",232,"9,4",,,31,"1,0 0,5"
50-59,7.792,"4.138 16,2",457,"18,6",,,102,"3,2 1,3"
60-69,8.106,"5.368 21,0",778,"31,6",,,301,"9,6 3,7"
70-79,8.429,"6.631 25,9",800,"32,5",,,984,"31,2 11,7"
80-89,5.730,"4.424 17,3",69,"2,8",,,1308,"41,5 22,8"
90 y +,1.386,"896 3,5",8,"0,3",,,408,"12,9 29,4"
Total,43.212,25.563 100%,2.459,100%,,,3.151,100%
